GRYD_ETO_ID,S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,text_all,Emotion
Hollenbeck 3-20-263-1,,Being raped,,,,No other group,Homies,Not wanting to get shot like my other friends,Focusing on my family,"Hollenbeck 3-20-263-1,Being raped,No other group,Homies,Not wanting to get shot like my other friends,Focusing on my family",fear
Hollenbeck 3-20-243-2,,Being low on credits,,,,No other group,Homies,No,I'm focusing more on school,"Hollenbeck 3-20-243-2,Being low on credits,No other group,Homies,No,I'm focusing more on school",sadness
Hollenbeck 3-20-255-2,Cathechism,Hard time at school with academics,,,,No other group,Homies,Dad's friend ended up getting shot and died,Hanging out with other friends,"Hollenbeck 3-20-255-2,Cathechism,Hard time at school with academics,No other group,Homies,Dad's friend ended up getting shot and died,Hanging out with other friends",sadness
Hollenbeck 3-20-236-2,,Open DCFS case for son,,,,No other group,Homies,"I saw there's no life in hanging out with them, and having son while [illegible] bieng killed is not good","Focusing on school, having a child and being in a relationship with someone who wants me to do better","Hollenbeck 3-20-236-2,Open DCFS case for son,No other group,Homies,I saw there's no life in hanging out with them, and having son while [illegible] bieng killed is not good,Focusing on school, having a child and being in a relationship with someone who wants me to do better",neutral
Rampart 1-12-391-2,GRYD program,My dog passing away,,,,No other group,Los Pendejos,All of them are in jail,No,"Rampart 1-12-391-2,GRYD program,My dog passing away,No other group,Los Pendejos,All of them are in jail,No",sadness
Rampart 2-12-383-1,Reading,Kicked out of school,School friends,,Regular friends,School friends,Group,No,No,"Rampart 2-12-383-1,Reading,Kicked out of school,School friends,Regular friends,School friends,Group,No,No",joy
Hollenbeck 3-20-241-2,I enjoy cleaning - it relaxes me,broke up with children's dad and loss of someone,,,,No other group,Friends,no,no,"Hollenbeck 3-20-241-2,I enjoy cleaning - it relaxes me,broke up with children's dad and loss of someone,No other group,Friends,no,no",sadness
77th 3-20-298-1,Work out/pray,Work,,,,No other group,No group,,,"77th 3-20-298-1,Work out/pray,Work,No other group,No group",neutral
Hollenbeck 2-20-187-2,,Babysitting before going back to school,,,,No other group,Friends,No,"Yes, baby and school","Hollenbeck 2-20-187-2,Babysitting before going back to school,No other group,Friends,No,Yes, baby and school",neutral
Southwest 1-15-348-3,Working out,Parents divorced,,,,No other group,No group,,,"Southwest 1-15-348-3,Working out,Parents divorced,No other group,No group",sadness
Southeast 3-10-178-2,,Relationship and friends,School friends,,,School friends,No group,No,No,"Southeast 3-10-178-2,Relationship and friends,School friends,School friends,No group,No,No",joy
Hollenbeck 2-20-158-3,"Domestic violence, parenting, AA, Anger Management","Work, children, and depression",,,,No other group,Friends,No,"Yes, working and required classes","Hollenbeck 2-20-158-3,Domestic violence, parenting, AA, Anger Management,Work, children, and depression,No other group,Friends,No,Yes, working and required classes",sadness
Southwest 1-15-397-2,"Work with Mom sometimes, CBI","Experienced a friend's death. She need a job, got to get work permit from school",School,CBI,CBI,Other group,No group,,,"Southwest 1-15-397-2,Work with Mom sometimes, CBI,Experienced a friend's death. She need a job, got to get work permit from school,School,CBI,CBI,Other group,No group",sadness
BVCB-0-194-3,"Job search, child care",Son's father incarcerated,Job,,,No other group,No group,,,"BVCB-0-194-3,Job search, child care,Son's father incarcerated,Job,No other group,No group",sadness
Hollenbeck 2-20-143-2,,Family situations,,,,No other group,Friends,"Yes, staying out of trouble","Yes, working and going back to school","Hollenbeck 2-20-143-2,Family situations,No other group,Friends,Yes, staying out of trouble,Yes, working and going back to school",sadness
Hollenbeck 3-20-267-1,"Read, listen to music, hang out with friends",Was depressed,,,,No other group,Friends,No,No,"Hollenbeck 3-20-267-1,Read, listen to music, hang out with friends,Was depressed,No other group,Friends,No,No",sadness
Hollenbeck 2-20-45-2,,Moving on after high school,,,,No other group,Friends,No,No,"Hollenbeck 2-20-45-2,Moving on after high school,No other group,Friends,No,No",neutral
Newton 2-23-228-1,GRYD Program (Workshops),Shot and lack of housing for most of the year,,,,No other group,AA Group,I was shot in the leg and almost died,No; maybe getting shot,"Newton 2-23-228-1,GRYD Program (Workshops),Shot and lack of housing for most of the year,No other group,AA Group,I was shot in the leg and almost died,No; maybe getting shot",fear
77th 2-13-1383-2,"Reading, writing, and learning",Lost my job,,,,No name,No group,,,"77th 2-13-1383-2,Reading, writing, and learning,Lost my job,No name,No group",sadness
Hollenbeck 3-20-268-1,"Walk the dog, listen to music, spa",Family problems,,,,No other group,Friends,"Yes, my brother just went to jail",No,"Hollenbeck 3-20-268-1,Walk the dog, listen to music, spa,Family problems,No other group,Friends,Yes, my brother just went to jail,No",sadness
77th 1-16-234-1,,My father he needs to be there more,,,,No other group,Slauson Boys,No,No,"77th 1-16-234-1,My father he needs to be there more,No other group,Slauson Boys,No,No",fear
77th 1-16-236-1,,I am leaving with my grandma but my parents I don't understand,,,,No other group,Crenshaw,Not sure,No,"77th 1-16-236-1,I am leaving with my grandma but my parents I don't understand,No other group,Crenshaw,Not sure,No",sadness
Foothill-14-378-1,,I have to take parenting classes,,,,No other group,No group,,,"Foothill-14-378-1,I have to take parenting classes,No other group,No group",joy
Hollenbeck 3-20-160-3,,Injured at work,,,,No other group,Homies,Rumors against my family,Having a girlfriend,"Hollenbeck 3-20-160-3,Injured at work,No other group,Homies,Rumors against my family,Having a girlfriend",sadness
Foothill-14-380-1,,My famliy member has cancer,,,,No other group,Fellas,My aunt was diagnose with cancer. My mom's only sister.,I want to graduate from high school for the past 6 months I've been messing up in school.,"Foothill-14-380-1,My famliy member has cancer,No other group,Fellas,My aunt was diagnose with cancer. My mom's only sister.,I want to graduate from high school for the past 6 months I've been messing up in school.",fear
Newton 2-23-260-2,Life skills/workshop,Father died. Overdosed.,,GRYD,,GRYD Friends,No group,,,"Newton 2-23-260-2,Life skills/workshop,Father died. Overdosed.,GRYD,GRYD Friends,No group",sadness
Southwest 1-15-334-2,Bike ridding,Got hit by a car,,,,No other group,No group,,,"Southwest 1-15-334-2,Bike ridding,Got hit by a car,No other group,No group",sadness
Hollenbeck 3-20-246-2,"Gym, football, smoke weed.",Things with mother,,,,No other group,Homies,No,No,"Hollenbeck 3-20-246-2,Gym, football, smoke weed.,Things with mother,No other group,Homies,No,No",sadness
Hollenbeck 3-20-264-1,"Face mask, toes, make up",Arguing with girlfriend,,,,No other group,Second Family,"Yes, being in a relationship.","Yes, moving.","Hollenbeck 3-20-264-1,Face mask, toes, make up,Arguing with girlfriend,No other group,Second Family,Yes, being in a relationship.,Yes, moving.",neutral
77th 1-16-237-1,,My dad needs to be in my life,,Football,,Football,4th Ave Boys,No,No,"77th 1-16-237-1,My dad needs to be in my life,Football,Football,4th Ave Boys,No,No",sadness
Newton 2-23-69-2,School at Weber Center-job training,Fight court case,,,,No other group,B Group,My friends and Homeboy Darky will shoot and I was put in jail for something I did not do.,Stated going to counseling and spending time with positive people.,"Newton 2-23-69-2,School at Weber Center-job training,Fight court case,No other group,B Group,My friends and Homeboy Darky will shoot and I was put in jail for something I did not do.,Stated going to counseling and spending time with positive people.",joy
Southwest 2-23-90-2,Client loves yoga,Me and mom use to fight a lot. It has been much better,,Client attends activities in VOALA program,Client attends firld trip (GRYD),Volunteers of America (GRYD),No group,,,"Southwest 2-23-90-2,Client loves yoga,Me and mom use to fight a lot. It has been much better,Client attends activities in VOALA program,Client attends firld trip (GRYD),Volunteers of America (GRYD),No group",neutral
77th 3-20-334-1,"Drawing, write books",Became homeless,School friends,Women's empowerment,,Women's empowerment,No group,,,"77th 3-20-334-1,Drawing, write books,Became homeless,School friends,Women's empowerment,Women's empowerment,No group",fear
Hollenbeck 2-20-71-3,Previously but not at this time.,Situation with recent community member.,,,Skating friends,Skating Friends,Friends,"Yes, issue with other community member.","Yes, working and school.","Hollenbeck 2-20-71-3,Previously but not at this time.,Situation with recent community member.,Skating friends,Skating Friends,Friends,Yes, issue with other community member.,Yes, working and school.",sadness
Southwest 2-23-241-1,Client go's for walk with child,Client stated a close friend got shot at,(GRYD) and family,Volunteers of America (GRYD),VOA activities workshops,Volunteers of America (GRYD),No group,,,"Southwest 2-23-241-1,Client go's for walk with child,Client stated a close friend got shot at,(GRYD) and family,Volunteers of America (GRYD),VOA activities workshops,Volunteers of America (GRYD),No group",sadness
Hollenbeck 3-20-276-1,"Smoking, bike riding, view.",When his father passed away,,,,No other group,Friends,No,Nothing,"Hollenbeck 3-20-276-1,Smoking, bike riding, view.,When his father passed away,No other group,Friends,No,Nothing",sadness
Hollenbeck 1-20-199-3,SEA GRYD,School work,School friends,,SEA GRYD,Friends,No group,,,"Hollenbeck 1-20-199-3,SEA GRYD,School work,School friends,SEA GRYD,Friends,No group",joy
Olympic-25-15-1,,Family hardships,,,,No other group,No group,,,"Olympic-25-15-1,Family hardships,No other group,No group",sadness
Southwest 2-23-231-1,Clien plays football with friends,Client stated his homie from GROUP got shot at.,Hangs with coworkers,Play's football iwht friends,VOALA GRYD,Volunteers of America (GRYD),No group,,,"Southwest 2-23-231-1,Clien plays football with friends,Client stated his homie from GROUP got shot at.,Hangs with coworkers,Play's football iwht friends,VOALA GRYD,Volunteers of America (GRYD),No group",neutral
Southwest 2-23-232-1,Client hangs out at the park with his friends and plays football,Client stated he seen his friend get shot,Client hangs with his friends,Client comes to workshops,(GRYD),Volunteers of America (GRYD),No group,,,"Southwest 2-23-232-1,Client hangs out at the park with his friends and plays football,Client stated he seen his friend get shot,Client hangs with his friends,Client comes to workshops,(GRYD),Volunteers of America (GRYD),No group",neutral
Hollenbeck 1-20-228-2,,Open court case,,,,No other group,Group,Friend got shot,None,"Hollenbeck 1-20-228-2,Open court case,No other group,Group,Friend got shot,None",neutral
Hollenbeck 1-20-226-2,,Life is stressful,,,,No other group,My brothers,2 friends got send to jail,Nothing,"Hollenbeck 1-20-226-2,Life is stressful,No other group,My brothers,2 friends got send to jail,Nothing",fear
Harbor-21-246-1,,Girlfriend got in an accident,,,HC Park,Park,3rd,My girlfriend was hurt bad in an accident,No,"Harbor-21-246-1,Girlfriend got in an accident,HC Park,Park,3rd,My girlfriend was hurt bad in an accident,No",sadness
BVCB-0-235-3,Work out,Injured at work,,,,No other group,Group,,,"BVCB-0-235-3,Work out,Injured at work,No other group,Group",sadness
Hollenbeck 1-20-255-2,,Grandmother died,School friends,,,School friends,No group,,,"Hollenbeck 1-20-255-2,Grandmother died,School friends,School friends,No group",sadness
Rampart 1-12-531-2,GRYD,Conflict with family,,,,No other group,Friends,No,Yes. School and jobs,"Rampart 1-12-531-2,GRYD,Conflict with family,No other group,Friends,No,Yes. School and jobs",anger
Hollenbeck 3-20-265-1,Listening to music,I lost my mom,,,,No other group,Homies,Nothing,Focusing on my girlfriend and kids,"Hollenbeck 3-20-265-1,Listening to music,I lost my mom,No other group,Homies,Nothing,Focusing on my girlfriend and kids",sadness
Hollenbeck 3-20-3-4,,Borhter bein arrested.,,,,No other group,Friends,"Yeah, brother in jail.",The baby.,"Hollenbeck 3-20-3-4,Borhter bein arrested.,No other group,Friends,Yeah, brother in jail.,The baby.",sadness
Newton 1-17-301-2,,Mom left me,,,,No other group,No group,,,"Newton 1-17-301-2,Mom left me,No other group,No group",sadness
Harbor-21-239-1,"Preparing resume, applying to jobs",Saw officer that was involved in family shooting,,,,GRYD program,204th,"Seeing negative consequences (jail, loss of employment, etc) of others",Raising family (2 girls). Wanting a better future for self and daughters,"Harbor-21-239-1,Preparing resume, applying to jobs,Saw officer that was involved in family shooting,GRYD program,204th,Seeing negative consequences (jail, loss of employment, etc) of others,Raising family (2 girls). Wanting a better future for self and daughters",sadness
Mission-14-342-1,GRYD program,Moved back South LA,,,,No other group,Homies,I need to recover from being stabbed,No,"Mission-14-342-1,GRYD program,Moved back South LA,No other group,Homies,I need to recover from being stabbed,No",neutral
Hollenbeck 2-20-190-3,"boxing, hiking, excercise",Family issues,,,,No other group,Friends,No,No,"Hollenbeck 2-20-190-3,boxing, hiking, excercise,Family issues,No other group,Friends,No,No",sadness
Hollenbeck 2-20-214-2,"YES, program",Issues with parents and school,,,,No other group,Friends,No,No,"Hollenbeck 2-20-214-2,YES, program,Issues with parents and school,No other group,Friends,No,No",fear
Southwest 2-23-93-2,Client stated he's playing in a soccer team,Client stated friend got blasted at,,Client plays soccer,(GRYD),Volunteers of America (GRYD),ATC,Client stated his best friend got blasted at and killed,Client got a job and is trying to stay focused,"Southwest 2-23-93-2,Client stated he's playing in a soccer team,Client stated friend got blasted at,Client plays soccer,(GRYD),Volunteers of America (GRYD),ATC,Client stated his best friend got blasted at and killed,Client got a job and is trying to stay focused",anger
Newton 1-17-254-2,Reading,Friend shot,,,,No other group,VEE,No,No,"Newton 1-17-254-2,Reading,Friend shot,No other group,VEE,No,No",fear
BHSEA-2-107-4,,Yes car was taken away impound,,,,No other group,Friends,No,No,"BHSEA-2-107-4,Yes car was taken away impound,No other group,Friends,No,No",neutral
Hollenbeck 1-20-374-1,None,Parole case,,,,No other group,Friends,Nothing,Baby on the way,"Hollenbeck 1-20-374-1,None,Parole case,No other group,Friends,Nothing,Baby on the way",sadness
Southwest 1-15-375-2,,Friend was killed,,,,No other group,No group,,,"Southwest 1-15-375-2,Friend was killed,No other group,No group",fear
Newton 1-17-199-2,,My father past away,,,,No other group,Homies,having my son has made me think different now,My son is what makes me want ot stop hanging around with my friends,"Newton 1-17-199-2,My father past away,No other group,Homies,having my son has made me think different now,My son is what makes me want ot stop hanging around with my friends",sadness
Southwest 1-15-347-2,Exercise/run,Got into fight,,,,No other group,Group,,,"Southwest 1-15-347-2,Exercise/run,Got into fight,No other group,Group",neutral
Southwest 1-15-346-2,Working out/dancing,Parents argue,,,,No other group,No group,,,"Southwest 1-15-346-2,Working out/dancing,Parents argue,No other group,No group",anger
Hollenbeck 3-20-122-4,,Dad got locked up,,,,No other group,Homies,Lack of trust with the homies,Having a girlfriend and my mom being more involved in my life,"Hollenbeck 3-20-122-4,Dad got locked up,No other group,Homies,Lack of trust with the homies,Having a girlfriend and my mom being more involved in my life",sadness
Southwest 2-23-98-1,Client stated she goes to work out at the gym,Client stated her children's father has anger issues.,GRYD program,,,Volunteers of America (GRYD),No group,,,"Southwest 2-23-98-1,Client stated she goes to work out at the gym,Client stated her children's father has anger issues.,GRYD program,Volunteers of America (GRYD),No group",anger
Newton 1-23-320-1,working out,Got shot,Work,,,Work,Bee,No,No,"Newton 1-23-320-1,working out,Got shot,Work,Work,Bee,No,No",fear
Pacific-18-123-2,Helper Foundation,homeless,,,Helper,Helper Foundation,No group,,,"Pacific-18-123-2,Helper Foundation,homeless,Helper,Helper Foundation,No group",fear
Newton 2-23-224-1,"Homework, GRYD",Homeboy was killed,,,,No other group,B Group,Homeboy was killed at his house in the yard,Working 2 jobs and going to school. Trying to live the homeboy dream since he can't,"Newton 2-23-224-1,Homework, GRYD,Homeboy was killed,No other group,B Group,Homeboy was killed at his house in the yard,Working 2 jobs and going to school. Trying to live the homeboy dream since he can't",neutral
Hollenbeck 2-20-50-3,Basketball,Got shot at,Friends from work,,Friends,Friends,No group,,,"Hollenbeck 2-20-50-3,Basketball,Got shot at,Friends from work,Friends,Friends,No group",fear
Southwest 1-15-372-3,Exercise and fitness training,I have recently had anxiety attacks that have caused hospitalization,,,,No other group,No group,,,"Southwest 1-15-372-3,Exercise and fitness training,I have recently had anxiety attacks that have caused hospitalization,No other group,No group",fear
Newton 1-17-272-2,,mother tried to drown sister,,,,No other group,Homies,my older brother was deported,a friend got killed,"Newton 1-17-272-2,mother tried to drown sister,No other group,Homies,my older brother was deported,a friend got killed",sadness
Pacific-18-232-2,life skills and counselling,I went to adult jail for one night,co worker,,group sessions,Helper Foundation,Holines,"I spent the night in adult jail first time, man","I got a fulltime training job at a dental clinic, I even wore a lab coat. Now I only work one day, though.","Pacific-18-232-2,life skills and counselling,I went to adult jail for one night,co worker,group sessions,Helper Foundation,Holines,I spent the night in adult jail first time, man,I got a fulltime training job at a dental clinic, I even wore a lab coat. Now I only work one day, though.",sadness
Harbor-21-240-1,"Parenting class, domestic violence class",DCFS case,,,Support group,Support group,No group,,,"Harbor-21-240-1,Parenting class, domestic violence class,DCFS case,Support group,Support group,No group",neutral
Hollenbeck 1-20-368-2,SEA GRYD,"School work, senior dues",School friends,,,School friends,No group,,,"Hollenbeck 1-20-368-2,SEA GRYD,School work, senior dues,School friends,School friends,No group",joy
Northeast-25-25-1,Sports,Parent seperated badly,,Souftball,BTBTS,BTBTS,The grils crew,Nope,Nothing so far,"Northeast-25-25-1,Sports,Parent seperated badly,Souftball,BTBTS,BTBTS,The grils crew,Nope,Nothing so far",sadness
Foothill-14-506-1,Church services,Problems with friends,"School friends, gym friends, and church","Basketball, running, boxing",Neighborhood friends or just friends,Boxing friends,No group,Staying away from it in general,"Got a job, school, and more or less trying to better himself","Foothill-14-506-1,Church services,Problems with friends,School friends, gym friends, and church,Basketball, running, boxing,Neighborhood friends or just friends,Boxing friends,No group,Staying away from it in general,Got a job, school, and more or less trying to better himself",sadness
Newton 1-17-235-3,,Father died,,,Friends,Friends,No group,,,"Newton 1-17-235-3,Father died,Friends,Friends,No group",sadness
Northeast-25-24-1,Go to church,My brother's killer got scentenced to life.,Church,,BTBTS,Church,Chicos,"Nope, nothing",Just sometimes my brothers death,"Northeast-25-24-1,Go to church,My brother's killer got scentenced to life.,Church,BTBTS,Church,Chicos,Nope, nothing,Just sometimes my brothers death",neutral
Southeast 1-24-14-1,Job readiness/search,Became homeless,School friends,,School friends,School friends,Homies,Homies snitching on each other,"The pull aways from homies due to school, job, and son","Southeast 1-24-14-1,Job readiness/search,Became homeless,School friends,School friends,School friends,Homies,Homies snitching on each other,The pull aways from homies due to school, job, and son",fear
Devonshire-Topanga-11-188-1,,Mother pass away,School friends,,,School friends,Homegirls,My uncle got release from jail and his on me,I want to graduated and get a good job,"Devonshire-Topanga-11-188-1,Mother pass away,School friends,School friends,Homegirls,My uncle got release from jail and his on me,I want to graduated and get a good job",sadness
Hollenbeck 2-20-136-2,Art work,Grandma's sister passed away.,,,,No other group,No group,,,"Hollenbeck 2-20-136-2,Art work,Grandma's sister passed away.,No other group,No group",sadness
Devonshire-Topanga-11-180-1,,Mother was carcerate,,,,No other group,Homies,My mother went to jail,My brother got 25 to life in prison,"Devonshire-Topanga-11-180-1,Mother was carcerate,No other group,Homies,My mother went to jail,My brother got 25 to life in prison",neutral
Southeast 2-20-268-1,,Guard job,,,,No other group,No group,,,"Southeast 2-20-268-1,Guard job,No other group,No group",neutral
Southeast 2-20-326-1,,Finding work and moving out of Grandma's house,,,,No other group,No group,,,"Southeast 2-20-326-1,Finding work and moving out of Grandma's house,No other group,No group",joy
Southwest 2-23-183-1,Client hangs out at the park with his friends and plays basketball and goes to the gym.,Me and my girlfriend broke up,,,,Varrio,Homeboys,No,,"Southwest 2-23-183-1,Client hangs out at the park with his friends and plays basketball and goes to the gym.,Me and my girlfriend broke up,Varrio,Homeboys,No",sadness
Hollenbeck 3-20-298-1,"Draw, church, makeup",had to leave my current house,,,,No other group,Friends,sexual harrassment,graduation,"Hollenbeck 3-20-298-1,Draw, church, makeup,had to leave my current house,No other group,Friends,sexual harrassment,graduation",sadness
Newton 2-23-308-1,GRYD workshops,Got jumped,,,,GRYD kids,No group,,,"Newton 2-23-308-1,GRYD workshops,Got jumped,GRYD kids,No group",neutral
Hollenbeck 2-20-224-2,Basketball,"Break up, Losing job",School friends,,Friends,Friends,No group,,,"Hollenbeck 2-20-224-2,Basketball,Break up, Losing job,School friends,Friends,Friends,No group",sadness
Southeast 3-10-176-2,"Reading, working, art",My friend got shot 5 time,kids at school,,School mate,No other group,No group,,,"Southeast 3-10-176-2,Reading, working, art,My friend got shot 5 time,kids at school,School mate,No other group,No group",fear
Harbor-21-259-1,,Mother walked out on family,,,,No other group,Crew,Two friends were shot one died,No,"Harbor-21-259-1,Mother walked out on family,No other group,Crew,Two friends were shot one died,No",sadness
Devonshire-Topanga-11-177-1,,a friend got shot in front of me,,,,No other group,Homies,I was incarcerated and sent to prison,since my release from prison I just want to go to school and get a good job,"Devonshire-Topanga-11-177-1,a friend got shot in front of me,No other group,Homies,I was incarcerated and sent to prison,since my release from prison I just want to go to school and get a good job",fear
Olympic-25-54-2,,Custody for child,,,,No other group,No group,,,"Olympic-25-54-2,Custody for child,No other group,No group",neutral
Hollenbeck 1-20-177-3,,school,,,,No other group,Friends,nothing happen,nothing happen,"Hollenbeck 1-20-177-3,school,No other group,Friends,nothing happen,nothing happen",neutral
Newton 2-23-299-1,Anger management GRYD,Baby was taken away DPSS,,,,No other group,Six Group,No nothing like that,Had my son. I started having someone else to live for,"Newton 2-23-299-1,Anger management GRYD,Baby was taken away DPSS,No other group,Six Group,No nothing like that,Had my son. I started having someone else to live for",sadness
Devonshire-Topanga-11-186-1,,My father left me.,,,,No other group,Homies,I been busted too long dont want to get busted no more.,I miss my mom not spending time with her kills me.,"Devonshire-Topanga-11-186-1,My father left me.,No other group,Homies,I been busted too long dont want to get busted no more.,I miss my mom not spending time with her kills me.",sadness
Southeast 1-24-10-1,Job search,Lost 2 uncles over summer,,,,No other group,No group,,,"Southeast 1-24-10-1,Job search,Lost 2 uncles over summer,No other group,No group",sadness
Southeast 1-24-3-1,Basketball,My friend die,Basketball,Basketball,Basketball,Basketball,Hoovers,I think it is stupid to be in a gang,My friends start dying,"Southeast 1-24-3-1,Basketball,My friend die,Basketball,Basketball,Basketball,Basketball,Hoovers,I think it is stupid to be in a gang,My friends start dying",sadness
Hollenbeck 2-20-192-2,YES program,"School and family, court",,,,No other group,Friends,No,No,"Hollenbeck 2-20-192-2,YES program,School and family, court,No other group,Friends,No,No",joy
Southwest 1-15-290-2,Reading/employment services,Friend got killed,,,,No other group,Group,Job,School,"Southwest 1-15-290-2,Reading/employment services,Friend got killed,No other group,Group,Job,School",sadness
Newton 2-23-321-1,"Job readiness workshops, paid internship, parenting classes","Client is pregnant with her second child, boyfriend does not help her out financially",People from the internship program at VOA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,"I never been from a gang but my family has, and the father of my children. I seen what it did to my mom when my brother got murder behind gang violence and I don't want my kids to go through the same cycle. Hell no!",,"Newton 2-23-321-1,Job readiness workshops, paid internship, parenting classes,Client is pregnant with her second child, boyfriend does not help her out financially,People from the internship program at VOA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,I never been from a gang but my family has, and the father of my children. I seen what it did to my mom when my brother got murder behind gang violence and I don't want my kids to go through the same cycle. Hell no!",fear
NHSEA-0-222-5,Program SEA/Legacy LA,Shot,Work friends,,Friends,Work friends,No group,,,"NHSEA-0-222-5,Program SEA/Legacy LA,Shot,Work friends,Friends,Work friends,No group",fear
Devonshire-Topanga-11-181-1,,My stepfather left with another women.,,,,No other group,No group,,,"Devonshire-Topanga-11-181-1,My stepfather left with another women.,No other group,No group",sadness
Newton 2-23-290-1,One on one discussion with case manager,Client was living on the street. He was struggling with housing.,School and work friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,"Newton 2-23-290-1,One on one discussion with case manager,Client was living on the street. He was struggling with housing.,School and work friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group",neutral
Foothill-14-388-1,,Getting kicked out from school,,,,No other group,Homies,Nope! I like kickin it with the homies.,I did have plans to graduate. School kicked me out.,"Foothill-14-388-1,Getting kicked out from school,No other group,Homies,Nope! I like kickin it with the homies.,I did have plans to graduate. School kicked me out.",joy
Southwest 2-23-179-1,goes to the gym,daughter got taken away,church,Volunteers of America (GRYD),GRYD,Volunteers of America (GRYD),No group,,,"Southwest 2-23-179-1,goes to the gym,daughter got taken away,church,Volunteers of America (GRYD),GRYD,Volunteers of America (GRYD),No group",sadness
Southwest 1-15-384-2,Working at a warehouse,Maintaining his job,Job friends,Volunteer at the park,CBing,CBing,No group,,,"Southwest 1-15-384-2,Working at a warehouse,Maintaining his job,Job friends,Volunteer at the park,CBing,CBing,No group",neutral
Devonshire-Topanga-11-183-1,,Shot my son in the foot,,BPS,BPS,BPS,Homies,Me shooting myself in foot.,,"Devonshire-Topanga-11-183-1,Shot my son in the foot,BPS,BPS,BPS,Homies,Me shooting myself in foot.",sadness
NHSEA-0-348-3,,"Mom-life, passed away",,,,No other group,Friends,No,No,"NHSEA-0-348-3,Mom-life, passed away,No other group,Friends,No,No",sadness
Rampart 2-23-321-1,Art works LA (internship),Her daughter's father past away in Christmas Eve,,Art workx LA,VOA,Art Workx LA,No group,,,"Rampart 2-23-321-1,Art works LA (internship),Her daughter's father past away in Christmas Eve,Art workx LA,VOA,Art Workx LA,No group",joy
Devonshire-Topanga-11-192-1,"Walking, jogging, and reading",Friends out shot and killed,,,,No name,Homies,friend got shot and killed,going to a new school,"Devonshire-Topanga-11-192-1,Walking, jogging, and reading,Friends out shot and killed,No name,Homies,friend got shot and killed,going to a new school",fear
Devonshire-Topanga-11-156-2,,Kicked out from home,,,,No other group,Homies,When I didnt have anywhere to go nobody helped me or cared.,After graduating I started being with him. So I would be wiht him more.,"Devonshire-Topanga-11-156-2,Kicked out from home,No other group,Homies,When I didnt have anywhere to go nobody helped me or cared.,After graduating I started being with him. So I would be wiht him more.",neutral
Rampart 2-23-302-1,Anger Management class,It can sometimes be her surroundings that upset her.,,,VOA,Volunteers of America (GRYD),No group,,,"Rampart 2-23-302-1,Anger Management class,It can sometimes be her surroundings that upset her.,VOA,Volunteers of America (GRYD),No group",neutral
NHSEA-0-227-4,,Not having a home and losing friends to gang violence,,,Juvenile hall friends,Juvenile hall friends,Friends,"Yes, gang violence, getting shot and being in dangerous situations","Yes, stay out of trouble, be productive, get a job and school","NHSEA-0-227-4,Not having a home and losing friends to gang violence,Juvenile hall friends,Juvenile hall friends,Friends,Yes, gang violence, getting shot and being in dangerous situations,Yes, stay out of trouble, be productive, get a job and school",sadness
Southwest 1-15-414-1,Job searches,Friends got killed. No jobs as welll,,,CBI,CBI,Group,Went to jail for something I really didn't do.,Friends got killed. Need a job.,"Southwest 1-15-414-1,Job searches,Friends got killed. No jobs as welll,CBI,CBI,Group,Went to jail for something I really didn't do.,Friends got killed. Need a job.",sadness
Rampart 2-23-319-1,,Mom sick a lot and not putting up with life,School friends,,VOA,Volunteers of America (GRYD),No group,,,"Rampart 2-23-319-1,Mom sick a lot and not putting up with life,School friends,VOA,Volunteers of America (GRYD),No group",sadness
Harbor-21-266-1,after school tutoring,paretns divorce,,,,No other group,skaters,no,no,"Harbor-21-266-1,after school tutoring,paretns divorce,No other group,skaters,no,no",sadness
Southwest 1-15-319-2,Job readiness/ teen club,Argument with mom's boyfriend. In need of a job.,School,Teen club at Jim Gilliam,CBI,CBI,No group,,,"Southwest 1-15-319-2,Job readiness/ teen club,Argument with mom's boyfriend. In need of a job.,School,Teen club at Jim Gilliam,CBI,CBI,No group",sadness
Southwest 2-23-253-1,Client plays soccor,Client got jumped by other members,,Client attend activies with VOA,GRYD,Volunteers of America (GRYD),Homies,Client lost his cousin through gang violence,Client started working,"Southwest 2-23-253-1,Client plays soccor,Client got jumped by other members,Client attend activies with VOA,GRYD,Volunteers of America (GRYD),Homies,Client lost his cousin through gang violence,Client started working",neutral
Southwest 2-23-254-1,Client play basketball,Client lost his best by the gang life,Client goes to church with girlfriend,,GRYD,Volunteers of America (GRYD),Homies,Client see his best friend get killed,Client is currently in a relationship,"Southwest 2-23-254-1,Client play basketball,Client lost his best by the gang life,Client goes to church with girlfriend,GRYD,Volunteers of America (GRYD),Homies,Client see his best friend get killed,Client is currently in a relationship",sadness
Hollenbeck 3-20-266-2,"Go walking, out to eat",Family problems at home,,,,No other group,Friends,Yes lost communication with them,"Yes, me changing schools","Hollenbeck 3-20-266-2,Go walking, out to eat,Family problems at home,No other group,Friends,Yes lost communication with them,Yes, me changing schools",sadness
