S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,Emotion
YES program,"School and family, court",,,,No other group,Friends,No,No,joy
Reading/employment services,Friend got killed,,,,No other group,Group,Job,School,sadness
"Job readiness workshops, paid internship, parenting classes","Client is pregnant with her second child, boyfriend does not help her out financially",People from the internship program at VOA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,"I never been from a gang but my family has, and the father of my children. I seen what it did to my mom when my brother got murder behind gang violence and I don't want my kids to go through the same cycle. Hell no!",,sadness
Program SEA/Legacy LA,Shot,Work friends,,Friends,Work friends,No group,,,fear
,My stepfather left with another women.,,,,No other group,No group,,,sadness
One on one discussion with case manager,Client was living on the street. He was struggling with housing.,School and work friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,neutral
,Getting kicked out from school,,,,No other group,Homies,Nope! I like kickin it with the homies.,I did have plans to graduate. School kicked me out.,fear
goes to the gym,daughter got taken away,church,Volunteers of America (GRYD),GRYD,Volunteers of America (GRYD),No group,,,neutral
Working at a warehouse,Maintaining his job,Job friends,Volunteer at the park,CBing,CBing,No group,,,fear
,Shot my son in the foot,,BPS,BPS,BPS,Homies,Me shooting myself in foot.,,fear
,"Mom-life, passed away",,,,No other group,Friends,No,No,sadness
Art works LA (internship),Her daughter's father past away in Christmas Eve,,Art workx LA,VOA,Art Workx LA,No group,,,joy
"Walking, jogging, and reading",Friends out shot and killed,,,,No name,Homies,friend got shot and killed,going to a new school,fear
,Kicked out from home,,,,No other group,Homies,When I didnt have anywhere to go nobody helped me or cared.,After graduating I started being with him. So I would be wiht him more.,fear
Anger Management class,It can sometimes be her surroundings that upset her.,,,VOA,Volunteers of America (GRYD),No group,,,neutral
,Not having a home and losing friends to gang violence,,,Juvenile hall friends,Juvenile hall friends,Friends,"Yes, gang violence, getting shot and being in dangerous situations","Yes, stay out of trouble, be productive, get a job and school",fear
Job searches,Friends got killed. No jobs as welll,,,CBI,CBI,Group,Went to jail for something I really didn't do.,Friends got killed. Need a job.,sadness
,Mom sick a lot and not putting up with life,School friends,,VOA,Volunteers of America (GRYD),No group,,,sadness
after school tutoring,paretns divorce,,,,No other group,skaters,no,no,anger
Job readiness/ teen club,Argument with mom's boyfriend. In need of a job.,School,Teen club at Jim Gilliam,CBI,CBI,No group,,,sadness
Client plays soccor,Client got jumped by other members,,Client attend activies with VOA,GRYD,Volunteers of America (GRYD),Homies,Client lost his cousin through gang violence,Client started working,neutral
Client play basketball,Client lost his best by the gang life,Client goes to church with girlfriend,,GRYD,Volunteers of America (GRYD),Homies,Client see his best friend get killed,Client is currently in a relationship,sadness
"Go walking, out to eat",Family problems at home,,,,No other group,Friends,Yes lost communication with them,"Yes, me changing schools",sadness
Life skills workshops,Husban in prison,,,,No other group,No group,,,neutral
,not the best relationship with mom,school friends,,,No other group,No group,,,joy
,Parental rights have been terminated,,,,No other group,Homies,Lost custody of son,Being in rehab for 90 days made me see differently,anger
gym,not having money to provide for myself,school friends,,,school friends,Friends,nothing happened,helping family out and going to school,neutral
,Not able to see daughter,,,,No other group,No group,,,neutral
Looking for other jobs and schooling,I need a job,School frineds/ work friends,Work and CBing,CBing/work friends,CBing,No group,,,neutral
,mom had surgery,,,,No other group,No group,,,neutral
,"kids father not in picture, financial, housing",,,,friends,No group,,,neutral
,Probation,,,,No other group,No group,,,neutral
,Employment,,,,No other group,Group,Had a son,Had a son,neutral
GRYD,"Laid off, family friend shot at",School,,Wrap-around,Wrap Around,Homies,No,My kid cause I don't always have a babysitter,sadness
Having a job,Girl friend problems a ne baby arriving. Emplyment problems,A job,CBing,CBing,CBing,Group,"Having a chlid, having a job ans working CBing",Working with CBing. Having a new born child. Having a job and possibly marriage.,fear
Exercise,I had to quit school,,,,No other group,The Fellas,,I don't kick it with the fellas anymore.,neutral
,Homies got shot by HC,,,,No other group,Torrance,LAPD serve gang papers,No,neutral
,My brother's enemy threatened me at my job,,,,No other group,E,2 friends were shot,No,fear
,Court,,,,No other group,Friends,Going to school and going to jail,My girlfriend has keep me busy out of streets,neutral
,My house was raided by cops because of my brother,,,,No other group,City,Cousin was shot,No,fear
GRYD,Failed a class,GRYD,Basketball team,,Basketball team,No group,,,sadness
passing out food/community service at church,misscarriage and friend got killed,church,Volunteers of America (GRYD),friends,Volunteers of America (GRYD),2's,"my friend got killed, I don't know who killed him","I want a better life for my boyfriend and me, with his son",sadness
,friends got shot and died,,,,No other group,Homies,no,no,sadness
GRYD workshops,grandmother pass away,,,,No other group,a's group,no nothing - stop hanging out as much after my granny died,no nothing,sadness
"school,workk,running",grandfather passed,Study group,,,Study buddy,No group,,,neutral
,Disagreement iwth mom,School friends,,,School friends,No group,,,neutral
,REal good friend go shot,,,,No other group,Homies,Lot of homies getting shot or kill.,My kids and my new job,joy
Cuando estoy con usted,cosas personales,,,,No other group,Conosidos,"si, la forma que pienso","si, mi bebe",neutral
,Good friend overdose,,,,No other group,Crew,Was recently arrested for a knife and got into a fight,Judge told me  I'll go to camp,joy
,My cousin go shot,,,,No other group,Homies,Cousi to shot,My son was born.,joy
"client gained job readiness training, paid internship, job leads, individual counseling",yes employment VOA staff assisted boyfriend and client obtain full time employment,work and GRYD friends,Volunteers of America (GRYD),VOAIA,Volunteers of America (GRYD),No group,,,joy
,"lack of daycare, employment assistance",,,,No other group,Friends,no. stay away from dws enrollment,"yes, looking for employment. trying to enroll back to school",neutral
,Friends got shot took alot of drugs went to hospital,,,,No other group,Homies,"My best friend got shot 9 times, I also took alot of drugs and went to hospital",Started school feeling good stop using hardcore drugs,fear
When at work,In trouble with the law,,,,No other group,The Group,Yes,"Yes, girlfriend and community labor",neutral
Anger management and GRYD drug education,Went to jail,,,,No other group,No group,,,neutral
,i get upset when i make bad decisions,,,,No other group,Milwood Boyz,loosing friends or not having friends to help me or be there for me. I miss my friends,Having a girlfriend she is helping me staying out of trouble. I stop kicking it with my friends,fear
Walking/jogging,mom's boyfriend out of prison and moved in,job friends,,my block friends,job friends,My boyz,having my girlfriend live with me and being responsible for both of us,getting a job with LACC part of my school program,joy
Workout,Friends dying,,,,No other group,Milwood Boys,"Being in placement, not seeing my mother or little brother",Being enrolled in GRYD,sadness
"Learning, training, basketball, track",My friend was shot walking home from school,School with friends,,,No other group,No Group,,,fear
,Boyfriend beat me up,,,,No other group,No group,,,anger
,Serious trouble with the law,ROTC,ROTC,ROTC,ROTC,Bloods,I did not want to be statistic,Depression,fear
,Relationship & baby,,,,No other group,Group,"year, because one I have responsiblities to take care of. Its not good to be involved in negative stuff","yeah I do, I have a boyfriend that helps me stay away and my daughter",neutral
,Friend was killed,,,School friends,School,Harbor city,Friend was killed,No,sadness
"Football, church, volunteer",Friend was killed in the community,Church,Football,Chapter Two,Football,No group,,,sadness
"Football, church, volunteer",A friend was shot and killed,Church,Football,Chapter Two,Football,No group,,,fear
"Reading, church, volunteer",Cousin shot and killed,School,Football,Chapter Two,Football,No group,,,fear
"Church, football, volunteer",Witness my friend being shot and killed,Church,Football,Chapter Two,Football,No group,,,fear
Library/exercising,work hours,School friends,,,School friends,No group,,,neutral
reading and exercise,Best friends was murder by my house,Church/School,Football,Chapter two,Football,No group,,,sadness
Trying t oget on my feet and become stable,My daughter was muder by her father and I am homeless,,,,Chapter 2,No group,,,neutral
"Football, church, volunteering",friend was shot and killed by rival community,Church/school,Football,Chapter two,Football,No group,,,fear
"Football, church, volunteering",Pet died,Church/school,Football,Chapter Two,Football,No group,,,sadness
"Church, exercises",Shooting near house,Church,Football,Chapter Two,Football,No group,,,neutral
,Good friend got shot for no reason. I got shot too,,,,No other group,Homies,I recently got out of camp and don't want to go back,I enroll in school and join the construction class,joy
"Football, church, volunteering",friend go shot but [uable to read],school,Football,Chapter two,Football,No group,,,sadness
Church,Aunt got very sick,Church/school,Football,Chapter Two,Football,No group,,,sadness
Blank,step brother got shot and killed,,,,No other group,Homies,My step brother just got shot and killed in oct 2018 and my dad is doing life in prison hes been gone since 2009 and to top it off I cant stand my step dad,no if anything the group feeds my family,fear
Church,A childhood friend kill in a drive by :(,Church,Football,Chapter Two,Football,No group,,,fear
,Friend was stabbed to death,Girls mentor group,,,Girls Mentor Group,Group,No,No,fear
Exercise,brother went to jail,,,,No other group,No group,,,neutral
,school,school friends,,,school friends,No group,,,neutral
Reading,Mother passed,,,,No other group,No group,,,neutral
,got shot at,School friends,,,School friends,Group,No,No,neutral
,Family issues,,,,No other group,Group,nothing,nothing,neutral
,Moved int oa new neighborhood,School friends,,,School friends,Homies,"Yes, mother wants me to stay out of trouble","Yes, gryd program at chapter two",joy
help at church,mother's friend passed away and seeing mother crying is stressful,school friends,,people at church,Bears,Homies,777 [no group],my parents and visiting Mexico,sadness
"YES, program",Family and school,,,,No other group,Friends,"Yes, getting into trouble with school",No,joy
Hair/Body,Grandmother died,,,,No other group,Harlen,My little cousin that I had custody.,Is important to stay out of trouble for my cousin that I have custody.,sadness
Individual counseling and mentoring client while providing tools to self improvement,8 of his friends have been killed to gang violence,sometimes work friends,voala,voaia,volunteers of america,Playsboys gang,skip!,skip!,sadness
,Pressure to graduate this year. Complete school,School friends,,,School friends,No group,,,joy
Work out,Lost job,,,,No other group,Group,When I got a job in Atlanta,My kids,sadness
,Friend was killed and I was shot in foot,,,,No other group,HG,Friend was killed and I was shot in foot,No,fear
Hygiene,Grandfather passed,,GRYD,,No other group,No group,,,neutral
GRYD,new job and making sure school work is done,,GRYD,,No other group,No group,,,joy
self care,brother got shot,church,church,church,West LA Church,Six O,I don't want [to] live that life,"change my life, a better life",neutral
,fight with friend,,,,No other group,No group,,,anger
,Friend got jumped,,,,No other group,No group,,,joy
Anger management counseling,Kids were taken and put in the system,,,,No other group,No group,,,neutral
"Life skills workshop, encountering homeless population, community events",Not able to enroll into a new school because of my behavioral problems,GRYD friends,VOALA,VOALA,VOA,No group,,,anger
"YES program, SEA substance abuse/anger workshops","Not having a stable job, court case for custody of kids",Church,,,Church,Friends,"Yes, to avoid drama and to focus on getting custody back of children","Yes, going back to school, getting a job, staying around more positive people and those that are going to church",neutral
Community Build Inc,Want to work. She was too young. Now she has her work permit,School,CBI,,CBI,No group,,,neutral
Community service at school,Got arrested with a knife at school,,,,No other group,Crew,Got arrested at school with knife,Don't want to go to jail,fear
Client rides his bike,Client injured his knee,Client goes to church,Client attends workshops,GRYD,VOA,No group,,,fear
Reading,77,,,,No other group,No group,,,neutral
Volunteer in a church,Bi brother pass away,Church group,UFC,,Church group,No group,,,fear
,Not ready to talk about it.,,,,No other group,No group,,,neutral
Football,Friend was stabbed to death,,,,No other group,No group,,,fear
SEA GRYD,not having a good relationship w/ mom,school,SEA,,SEA,No group,,,joy
Client likes to ride mini bikes.,Client's close friend died and  girlfriend is mad at client.,Client hangs with friends.,Client comes to workshops.,The Homies,Volunteers of America,Homies,Client stated losing his close friend.,Client don't want to end up in jail.,sadness
Hygiene,death,,GRYD,,No other group,No group,,,sadness
,Mom leaving us,,,,No other group,No group,,,fear
Parenting class,DCFS case,,,Parenting group,Parenting group,Bad Vibes,Witnessing her friends choosing drugs over their kids.,Prioritizing self over toxic relationships. Seeing progress in relationship with daughter. Completing required classes.,neutral
,DCFS Case,,,Friends,Friends,No group,,,neutral
"YES, program",lack of empployment and housing,,,,No other group,Homies,No,No,neutral
stay extra at work to learn more,arguing with boyfriend a lot about finacial situations,Job,,church,Job,His homies,searching for work to support my toddler on my own,having my son and paying rent by myself,fear
,in jail,,GRYD,,GRYD,Homies,,,neutral
,adapting to morinv back to LA.,,,,No other group,Friends,No,"Yes, trying to better myself",joy
"Professional development, education info for GED","family disputes, drama among friends",,,,GRYD program,204th,"seeing how negative choices impact peoples live (jail, drugs, etc.)",providing a better future for my 2 daughters (financial stability) being present for my kids (avoid bad decisions),joy
,Getting a job and issues with police,,,,No other group,Friends,No,No,fear
,being accused of theft,,,School friends,School friends,Group,year alot of stuff changed when my brothers and siblings got locked up,year but not no more. when I was going out with my ex she would keep out of trouble,anger
job readiness,Living arrangements,,,,No other group,No group,,,neutral
Sports,"Bullying, she has been bullied",School friends,Delta Gems,,School friends,Friends,,,fear
,Friends passing,School,,Homies from park,Friends from school,No group,,,joy
,Fighting,,,,No name,No group,,,fear
"Paid intership at VOA site assit with workshops, community events",Family was evicted from their apartment didnt have a place to stay,GRYD friends,VOLA,VOALA,VOALA,No group,,,neutral
Client participates in workshops,Client is pending criminal charges,GRYD friends,VOALA,VOALA,VOA,No group,,,neutral
"YES, program",Anxiety,,,,No other group,Friends,No,No,fear
Parenting education,mom loss home - looking for a home,,,,No other group,Grape street,my daughter my own self,been a father learning a better person,sadness
,My housing situation,,,,No other group,No group,,,neutral
teach my (unlegible), ,,,,No other group,Hoovers,to much activity - I want to be my own person - also more,i become a father my son is 7 months,neutral
Basketball,My brother shot 3 days ago,,,,No other group,Hoovers,the disloyalty,dead of a close friends,sadness
,friends got shot,Friends,,,Friends,No group,,,sadness
Wroking out playing basktball,Injured,,,,No other group,Main street,I bang before - I dont want to do it like my older brother,the people around right now are putting down I am going ot be different,fear
Spend time with family,Mom left home,,,,No other group,Aves Plug,Not really,My son,sadness
"Drawing, makeup, video games",Moving back and forth,,,,No other group,Group,No,"Yes, work, school",joy
one on one,Police keep raiding my house,,Community service,Helper,Helper,Homies,Going to jail,No,fear
