S6b_Other_Activities,,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,Emotion,S11a_Comments
Job readiness/search,,School friends,,School friends,School friends,Homies,Homies snitching on each other,"The pull aways from homies due to school, job, and son",sadness,Became homeless
,,School friends,,,School friends,Homegirls,My uncle got release from jail and his on me,I want to graduated and get a good job,sadness,Mother pass away
Art work,,,,,No other group,No group,,,sadness,Grandma's sister passed away.
,,,,,No other group,Homies,My mother went to jail,My brother got 25 to life in prison,sadness,Mother was carcerate
,,,,,No other group,No group,,,neutral,Guard job
,,,,,No other group,No group,,,joy,Finding work and moving out of Grandma's house
Client hangs out at the park with his friends and plays basketball and goes to the gym.,,,,,Varrio,Homeboys,No,,sadness,Me and my girlfriend broke up
"Draw, church, makeup",,,,,No other group,Friends,sexual harrassment,graduation,sadness,had to leave my current house
GRYD workshops,,,,,GRYD kids,No group,,,neutral,Got jumped
Basketball,,School friends,,Friends,Friends,No group,,,sadness,"Break up, Losing job"
"Reading, working, art",,kids at school,,School mate,No other group,No group,,,sadness,My friend got shot 5 time
,,,,,No other group,Crew,Two friends were shot one died,No,neutral,Mother walked out on family
,,,,,No other group,Homies,I was incarcerated and sent to prison,since my release from prison I just want to go to school and get a good job,fear,a friend got shot in front of me
,,,,,No other group,No group,,,neutral,Custody for child
,,,,,No other group,Friends,nothing happen,nothing happen,neutral,school
Anger management GRYD,,,,,No other group,Six Group,No nothing like that,Had my son. I started having someone else to live for,sadness,Baby was taken away DPSS
,,,,,No other group,Homies,I been busted too long dont want to get busted no more.,I miss my mom not spending time with her kills me.,sadness,My father left me.
Job search,,,,,No other group,No group,,,sadness,Lost 2 uncles over summer
Basketball,,Basketball,Basketball,Basketball,Basketball,Hoovers,I think it is stupid to be in a gang,My friends start dying,sadness,My friend die
YES program,,,,,No other group,Friends,No,No,joy,"School and family, court"
Reading/employment services,,,,,No other group,Group,Job,School,sadness,Friend got killed
"Job readiness workshops, paid internship, parenting classes",,People from the internship program at VOA,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,"I never been from a gang but my family has, and the father of my children. I seen what it did to my mom when my brother got murder behind gang violence and I don't want my kids to go through the same cycle. Hell no!",,sadness,"Client is pregnant with her second child, boyfriend does not help her out financially"
Program SEA/Legacy LA,,Work friends,,Friends,Work friends,No group,,,fear,Shot
,,,,,No other group,No group,,,sadness,My stepfather left with another women.
One on one discussion with case manager,,School and work friends,Volunteers of America (GRYD),VOALA,Volunteers of America (GRYD),No group,,,sadness,Client was living on the street. He was struggling with housing.
,,,,,No other group,Homies,Nope! I like kickin it with the homies.,I did have plans to graduate. School kicked me out.,fear,Getting kicked out from school
goes to the gym,,church,Volunteers of America (GRYD),GRYD,Volunteers of America (GRYD),No group,,,sadness,daughter got taken away
Working at a warehouse,,Job friends,Volunteer at the park,CBing,CBing,No group,,,fear,Maintaining his job
,,,BPS,BPS,BPS,Homies,Me shooting myself in foot.,,fear,Shot my son in the foot
,,,,,No other group,Friends,No,No,sadness,"Mom-life, passed away"
Art works LA (internship),,,Art workx LA,VOA,Art Workx LA,No group,,,joy,Her daughter's father past away in Christmas Eve
"Walking, jogging, and reading",,,,,No name,Homies,friend got shot and killed,going to a new school,fear,Friends out shot and killed
,,,,,No other group,Homies,When I didnt have anywhere to go nobody helped me or cared.,After graduating I started being with him. So I would be wiht him more.,fear,Kicked out from home
Anger Management class,,,,VOA,Volunteers of America (GRYD),No group,,,sadness,It can sometimes be her surroundings that upset her.
,,,,Juvenile hall friends,Juvenile hall friends,Friends,"Yes, gang violence, getting shot and being in dangerous situations","Yes, stay out of trouble, be productive, get a job and school",fear,Not having a home and losing friends to gang violence
Job searches,,,,CBI,CBI,Group,Went to jail for something I really didn't do.,Friends got killed. Need a job.,sadness,Friends got killed. No jobs as welll
,,School friends,,VOA,Volunteers of America (GRYD),No group,,,sadness,Mom sick a lot and not putting up with life
after school tutoring,,,,,No other group,skaters,no,no,anger,paretns divorce
Job readiness/ teen club,,School,Teen club at Jim Gilliam,CBI,CBI,No group,,,sadness,Argument with mom's boyfriend. In need of a job.
Client plays soccor,,,Client attend activies with VOA,GRYD,Volunteers of America (GRYD),Homies,Client lost his cousin through gang violence,Client started working,neutral,Client got jumped by other members
Client play basketball,,Client goes to church with girlfriend,,GRYD,Volunteers of America (GRYD),Homies,Client see his best friend get killed,Client is currently in a relationship,sadness,Client lost his best by the gang life
"Go walking, out to eat",,,,,No other group,Friends,Yes lost communication with them,"Yes, me changing schools",sadness,Family problems at home
Life skills workshops,,,,,No other group,No group,,,neutral,Husban in prison
,,school friends,,,No other group,No group,,,joy,not the best relationship with mom
,,,,,No other group,Homies,Lost custody of son,Being in rehab for 90 days made me see differently,anger,Parental rights have been terminated
gym,,school friends,,,school friends,Friends,nothing happened,helping family out and going to school,sadness,not having money to provide for myself
,,,,,No other group,No group,,,sadness,Not able to see daughter
Looking for other jobs and schooling,,School frineds/ work friends,Work and CBing,CBing/work friends,CBing,No group,,,sadness,I need a job
,,,,,No other group,No group,,,sadness,mom had surgery
,,,,,friends,No group,,,sadness,"kids father not in picture, financial, housing"
,,,,,No other group,No group,,,neutral,Probation
,,,,,No other group,Group,Had a son,Had a son,neutral,Employment
GRYD,,School,,Wrap-around,Wrap Around,Homies,No,My kid cause I don't always have a babysitter,sadness,"Laid off, family friend shot at"
Having a job,,A job,CBing,CBing,CBing,Group,"Having a chlid, having a job ans working CBing",Working with CBing. Having a new born child. Having a job and possibly marriage.,fear,Girl friend problems a ne baby arriving. Emplyment problems
Exercise,,,,,No other group,The Fellas,,I don't kick it with the fellas anymore.,sadness,I had to quit school
,,,,,No other group,Torrance,LAPD serve gang papers,No,sadness,Homies got shot by HC
,,,,,No other group,E,2 friends were shot,No,fear,My brother's enemy threatened me at my job
,,,,,No other group,Friends,Going to school and going to jail,My girlfriend has keep me busy out of streets,neutral,Court
,,,,,No other group,City,Cousin was shot,No,fear,My house was raided by cops because of my brother
GRYD,,GRYD,Basketball team,,Basketball team,No group,,,sadness,Failed a class
passing out food/community service at church,,church,Volunteers of America (GRYD),friends,Volunteers of America (GRYD),2's,"my friend got killed, I don't know who killed him","I want a better life for my boyfriend and me, with his son",sadness,misscarriage and friend got killed
,,,,,No other group,Homies,no,no,sadness,friends got shot and died
GRYD workshops,,,,,No other group,a's group,no nothing - stop hanging out as much after my granny died,no nothing,sadness,grandmother pass away
"school,workk,running",,Study group,,,Study buddy,No group,,,sadness,grandfather passed
,,School friends,,,School friends,No group,,,sadness,Disagreement iwth mom
,,,,,No other group,Homies,Lot of homies getting shot or kill.,My kids and my new job,joy,REal good friend go shot
Cuando estoy con usted,,,,,No other group,Conosidos,"si, la forma que pienso","si, mi bebe",neutral,cosas personales
,,,,,No other group,Crew,Was recently arrested for a knife and got into a fight,Judge told me  I'll go to camp,joy,Good friend overdose
,,,,,No other group,Homies,Cousi to shot,My son was born.,joy,My cousin go shot
"client gained job readiness training, paid internship, job leads, individual counseling",,work and GRYD friends,Volunteers of America (GRYD),VOAIA,Volunteers of America (GRYD),No group,,,joy,yes employment VOA staff assisted boyfriend and client obtain full time employment
,,,,,No other group,Friends,no. stay away from dws enrollment,"yes, looking for employment. trying to enroll back to school",sadness,"lack of daycare, employment assistance"
,,,,,No other group,Homies,"My best friend got shot 9 times, I also took alot of drugs and went to hospital",Started school feeling good stop using hardcore drugs,fear,Friends got shot took alot of drugs went to hospital
When at work,,,,,No other group,The Group,Yes,"Yes, girlfriend and community labor",sadness,In trouble with the law
Anger management and GRYD drug education,,,,,No other group,No group,,,fear,Went to jail
,,,,,No other group,Milwood Boyz,loosing friends or not having friends to help me or be there for me. I miss my friends,Having a girlfriend she is helping me staying out of trouble. I stop kicking it with my friends,fear,i get upset when i make bad decisions
Walking/jogging,,job friends,,my block friends,job friends,My boyz,having my girlfriend live with me and being responsible for both of us,getting a job with LACC part of my school program,joy,mom's boyfriend out of prison and moved in
Workout,,,,,No other group,Milwood Boys,"Being in placement, not seeing my mother or little brother",Being enrolled in GRYD,sadness,Friends dying
"Learning, training, basketball, track",,School with friends,,,No other group,No Group,,,fear,My friend was shot walking home from school
,,,,,No other group,No group,,,anger,Boyfriend beat me up
,,ROTC,ROTC,ROTC,ROTC,Bloods,I did not want to be statistic,Depression,fear,Serious trouble with the law
,,,,,No other group,Group,"year, because one I have responsiblities to take care of. Its not good to be involved in negative stuff","yeah I do, I have a boyfriend that helps me stay away and my daughter",neutral,Relationship & baby
,,,,School friends,School,Harbor city,Friend was killed,No,sadness,Friend was killed
"Football, church, volunteer",,Church,Football,Chapter Two,Football,No group,,,sadness,Friend was killed in the community
"Football, church, volunteer",,Church,Football,Chapter Two,Football,No group,,,fear,A friend was shot and killed
"Reading, church, volunteer",,School,Football,Chapter Two,Football,No group,,,fear,Cousin shot and killed
"Church, football, volunteer",,Church,Football,Chapter Two,Football,No group,,,fear,Witness my friend being shot and killed
Library/exercising,,School friends,,,School friends,No group,,,neutral,work hours
reading and exercise,,Church/School,Football,Chapter two,Football,No group,,,sadness,Best friends was murder by my house
Trying t oget on my feet and become stable,,,,,Chapter 2,No group,,,sadness,My daughter was muder by her father and I am homeless
"Football, church, volunteering",,Church/school,Football,Chapter two,Football,No group,,,fear,friend was shot and killed by rival community
"Football, church, volunteering",,Church/school,Football,Chapter Two,Football,No group,,,sadness,Pet died
"Church, exercises",,Church,Football,Chapter Two,Football,No group,,,fear,Shooting near house
,,,,,No other group,Homies,I recently got out of camp and don't want to go back,I enroll in school and join the construction class,joy,Good friend got shot for no reason. I got shot too
"Football, church, volunteering",,school,Football,Chapter two,Football,No group,,,sadness,friend go shot but [uable to read]
Church,,Church/school,Football,Chapter Two,Football,No group,,,sadness,Aunt got very sick
Blank,,,,,No other group,Homies,My step brother just got shot and killed in oct 2018 and my dad is doing life in prison hes been gone since 2009 and to top it off I cant stand my step dad,no if anything the group feeds my family,fear,step brother got shot and killed
Church,,Church,Football,Chapter Two,Football,No group,,,fear,A childhood friend kill in a drive by :(
,,Girls mentor group,,,Girls Mentor Group,Group,No,No,fear,Friend was stabbed to death
Exercise,,,,,No other group,No group,,,sadness,brother went to jail
,,school friends,,,school friends,No group,,,neutral,school
Reading,,,,,No other group,No group,,,sadness,Mother passed
,,School friends,,,School friends,Group,No,No,fear,got shot at
,,,,,No other group,Group,nothing,nothing,neutral,Family issues
,,School friends,,,School friends,Homies,"Yes, mother wants me to stay out of trouble","Yes, gryd program at chapter two",joy,Moved int oa new neighborhood
help at church,,school friends,,people at church,Bears,Homies,777 [no group],my parents and visiting Mexico,sadness,mother's friend passed away and seeing mother crying is stressful
"YES, program",,,,,No other group,Friends,"Yes, getting into trouble with school",No,joy,Family and school
Hair/Body,,,,,No other group,Harlen,My little cousin that I had custody.,Is important to stay out of trouble for my cousin that I have custody.,sadness,Grandmother died
Individual counseling and mentoring client while providing tools to self improvement,,sometimes work friends,voala,voaia,volunteers of america,Playsboys gang,skip!,skip!,sadness,8 of his friends have been killed to gang violence
,,School friends,,,School friends,No group,,,joy,Pressure to graduate this year. Complete school
Work out,,,,,No other group,Group,When I got a job in Atlanta,My kids,sadness,Lost job
,,,,,No other group,HG,Friend was killed and I was shot in foot,No,fear,Friend was killed and I was shot in foot
Hygiene,,,GRYD,,No other group,No group,,,neutral,Grandfather passed
GRYD,,,GRYD,,No other group,No group,,,joy,new job and making sure school work is done
self care,,church,church,church,West LA Church,Six O,I don't want [to] live that life,"change my life, a better life",neutral,brother got shot
,,,,,No other group,No group,,,anger,fight with friend
,,,,,No other group,No group,,,neutral,Friend got jumped
Anger management counseling,,,,,No other group,No group,,,sadness,Kids were taken and put in the system
"Life skills workshop, encountering homeless population, community events",,GRYD friends,VOALA,VOALA,VOA,No group,,,anger,Not able to enroll into a new school because of my behavioral problems
"YES program, SEA substance abuse/anger workshops",,Church,,,Church,Friends,"Yes, to avoid drama and to focus on getting custody back of children","Yes, going back to school, getting a job, staying around more positive people and those that are going to church",neutral,"Not having a stable job, court case for custody of kids"
Community Build Inc,,School,CBI,,CBI,No group,,,joy,Want to work. She was too young. Now she has her work permit
Community service at school,,,,,No other group,Crew,Got arrested at school with knife,Don't want to go to jail,fear,Got arrested with a knife at school
Client rides his bike,,Client goes to church,Client attends workshops,GRYD,VOA,No group,,,fear,Client injured his knee
Reading,,,,,No other group,No group,,,neutral,77
Volunteer in a church,,Church group,UFC,,Church group,No group,,,fear,Bi brother pass away
,,,,,No other group,No group,,,neutral,Not ready to talk about it.
Football,,,,,No other group,No group,,,fear,Friend was stabbed to death
SEA GRYD,,school,SEA,,SEA,No group,,,joy,not having a good relationship w/ mom
Client likes to ride mini bikes.,,Client hangs with friends.,Client comes to workshops.,The Homies,Volunteers of America,Homies,Client stated losing his close friend.,Client don't want to end up in jail.,sadness,Client's close friend died and  girlfriend is mad at client.
Hygiene,,,GRYD,,No other group,No group,,,sadness,death
,,,,,No other group,No group,,,fear,Mom leaving us
Parenting class,,,,Parenting group,Parenting group,Bad Vibes,Witnessing her friends choosing drugs over their kids.,Prioritizing self over toxic relationships. Seeing progress in relationship with daughter. Completing required classes.,neutral,DCFS case
,,,,Friends,Friends,No group,,,neutral,DCFS Case
"YES, program",,,,,No other group,Homies,No,No,sadness,lack of empployment and housing
stay extra at work to learn more,,Job,,church,Job,His homies,searching for work to support my toddler on my own,having my son and paying rent by myself,fear,arguing with boyfriend a lot about finacial situations
,,,GRYD,,GRYD,Homies,,,fear,in jail
,,,,,No other group,Friends,No,"Yes, trying to better myself",joy,adapting to morinv back to LA.
"Professional development, education info for GED",,,,,GRYD program,204th,"seeing how negative choices impact peoples live (jail, drugs, etc.)",providing a better future for my 2 daughters (financial stability) being present for my kids (avoid bad decisions),joy,"family disputes, drama among friends"
,,,,,No other group,Friends,No,No,fear,Getting a job and issues with police
,,,,School friends,School friends,Group,year alot of stuff changed when my brothers and siblings got locked up,year but not no more. when I was going out with my ex she would keep out of trouble,anger,being accused of theft
job readiness,,,,,No other group,No group,,,neutral,Living arrangements
Sports,,School friends,Delta Gems,,School friends,Friends,,,fear,"Bullying, she has been bullied"
,,School,,Homies from park,Friends from school,No group,,,joy,Friends passing
,,,,,No name,No group,,,fear,Fighting
"Paid intership at VOA site assit with workshops, community events",,GRYD friends,VOLA,VOALA,VOALA,No group,,,sadness,Family was evicted from their apartment didnt have a place to stay
Client participates in workshops,,GRYD friends,VOALA,VOALA,VOA,No group,,,neutral,Client is pending criminal charges
"YES, program",,,,,No other group,Friends,No,No,fear,Anxiety
Parenting education,,,,,No other group,Grape street,my daughter my own self,been a father learning a better person,sadness,mom loss home - looking for a home
,,,,,No other group,No group,,,neutral,My housing situation
teach my (unlegible),,,,,No other group,Hoovers,to much activity - I want to be my own person - also more,i become a father my son is 7 months,neutral, 
Basketball,,,,,No other group,Hoovers,the disloyalty,dead of a close friends,sadness,My brother shot 3 days ago
,,Friends,,,Friends,No group,,,sadness,friends got shot
Wroking out playing basktball,,,,,No other group,Main street,I bang before - I dont want to do it like my older brother,the people around right now are putting down I am going ot be different,fear,Injured
Spend time with family,,,,,No other group,Aves Plug,Not really,My son,sadness,Mom left home
"Drawing, makeup, video games",,,,,No other group,Group,No,"Yes, work, school",fear,Moving back and forth
one on one,,,Community service,Helper,Helper,Homies,Going to jail,No,fear,Police keep raiding my house
